temporizzazioni DGtdB03P

p2#160:  07:22.748 - 07:25.132
p1#161:  07:24.454 - 07:29.813
p2#162:  07:36.694 - 07:40.616
p1#163:  07:38.823 - 07:41.938
p2#164:  07:43.109 - 07:44.266
p1#165:  07:44:200 - 07:44.795
p2#166:  07:45.137 - 07:46.500
p1#167:  07:49.884 - 07:52.301
p2#168:  07:51.392 - 07:59.599
p1#169:  07:56.854 - 08:02.773
p2#170:  08:02.886 - 08:04.902
p1#171:  08:04.001 - 08:08.402
p2#172:  08:08.202 - 08:14.948
p1#173:  08:15.814 - 08:16.475
p2#174:  08:17.456 - 08:21.761
p1#175:  08:24.020 - 08:27.825
p2#176:  08:23.513 - 08:34.564
p1#177:  08:30.297 - 08:37.103
p2#178:  08:37.488 - 08:40.196
p1#179:  08:38.494 - 08:42.320
p2#180:  08:42.791 - 08:44.733
p1#181:  08:45.599 - 08:49.627
p2#182:  08:49.335 - 08:51.302
p1#183:  08:50.401 - 08:53.203
p2#184:  08:52.508 - 08:56.395
p1#185:  08:56.696 - 09:00.101
p2#186:  08:59.200 - 09:02.492
p1#187:  09:02.430 - 09:03.100
p2#188:  09:03.108 - 09:03.910
p1#189:  09:03:695 - 09:04.827
p2#190:  09:04.920 - 09:05.656
p1#191:  09:05.904 - 09:08.350
p2#192:  09:11.751 - 09:12.883
